temperature_2m_max,temperature_2m_min,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,locations_value,year
28.2349987,20.43499947,4.799999714,20.1246109,43.19999695,Bengaluru,2010
26.68499947,20.83499908,1.900000215,18.08977509,35.27999878,Bengaluru,2010
27.7349987,20.08499908,8.699999809,15.18841457,33.11999893,Bengaluru,2010
24.4849987,20.08499908,2.400000095,19.93047905,39.95999908,Bengaluru,2010
27.28499985,20.63500023,12.89999962,24.18707085,58.67999649,Bengaluru,2010
25.63500023,20.13500023,4.399999619,26.92549706,62.27999496,Bengaluru,2010
24.03499985,20.4849987,8.600000382,23.35842323,48.95999908,Bengaluru,2010
25.2349987,20.53499985,0.600000024,26.47407722,53.27999878,Bengaluru,2010
27.58499908,20.68499947,2.900000095,20.15035439,42.11999893,Bengaluru,2010
27.43499947,20.78499985,4.600000382,20.99142647,48.95999908,Bengaluru,2010
27.43499947,20.38500023,3.399999619,20.78045273,42.11999893,Bengaluru,2010
27.4849987,20.13500023,3.5,20.31688881,41.76000214,Bengaluru,2010
26.9849987,19.93499947,0,15.62997055,34.56000137,Bengaluru,2010
28.18499947,20.08499908,1.100000024,15.19268227,33.11999893,Bengaluru,2010
28.03499985,20.43499947,1.5,17.7315979,35.63999939,Bengaluru,2010
27.83499908,20.4849987,2.900000095,20.833395,40.68000031,Bengaluru,2010
25.58499908,20.28499985,1.900000095,24.08773804,56.88000107,Bengaluru,2010
25.63500023,20.08499908,1.600000024,28.82249069,66.59999847,Bengaluru,2010
25.93499947,20.88500023,3.499999762,23.44426537,48.95999908,Bengaluru,2010
28.08499908,20.83499908,1.100000024,20.77421379,43.56000137,Bengaluru,2010
27.7349987,20.53499985,0.699999988,16.86245537,37.79999924,Bengaluru,2010
28.13500023,20.38500023,3.400000095,18.37411118,39.59999847,Bengaluru,2010
27.43499947,20.38500023,4.299999714,20.39329338,42.11999893,Bengaluru,2010
26.08499908,20.08499908,56.90000153,19.80327225,44.27999878,Bengaluru,2010
22.63500023,20.03499985,12.10000038,21.60599899,42.47999954,Bengaluru,2010
23.83499908,20.2349987,22.19999695,20.17606544,50.39999771,Bengaluru,2010
26.08499908,20.2349987,4.299999714,21.07768631,45,Bengaluru,2010
25.18499947,20.53499985,7.5,22.45026398,45.36000061,Bengaluru,2010
25.7349987,19.83499908,5.800000191,17.37722588,42.11999893,Bengaluru,2010
25.58499908,19.88500023,5.699999809,18.28927422,39.95999908,Bengaluru,2010
25.13500023,19.83499908,6.099999428,12.84952831,29.87999916,Bengaluru,2010
27.08499908,19.63500023,7.399999619,11.91812038,29.51999855,Bengaluru,2010
27.93499947,19.38500023,8.400000572,11.04326057,24.84000015,Bengaluru,2010
27.78499985,19.78499985,0.200000003,11.01388168,25.91999817,Bengaluru,2010
27.28499985,20.18499947,6.300000191,15.39183998,32.39999771,Bengaluru,2010
26.83499908,19.7349987,4.099999905,15.12428379,35.27999878,Bengaluru,2010
27.63500023,19.38500023,0,19.19174767,40.31999969,Bengaluru,2010
27.18499947,19.4849987,1.399999976,20.08270836,39.59999847,Bengaluru,2010
26.58499908,19.93499947,10.60000229,16.76610756,34.56000137,Bengaluru,2010
25.68499947,19.93499947,5.800000191,19.91746902,41.39999771,Bengaluru,2010
25.38500023,20.18499947,7.5,22.46180725,49.31999969,Bengaluru,2010
25.13500023,20.18499947,14.59999943,25.15367126,61.92000198,Bengaluru,2010
24.2349987,19.9849987,19.20000076,26.57668114,58.67999649,Bengaluru,2010
24.28499985,19.68499947,11.19999886,23.05124664,48.59999847,Bengaluru,2010
23.9849987,19.13500023,5.299999237,23.46912766,51.83999634,Bengaluru,2010
25.18499947,19.08499908,0,24.85825348,46.79999924,Bengaluru,2010
24.38500023,19.9849987,0.200000003,27.00959778,55.07999802,Bengaluru,2010
24.7349987,19.43499947,7.5,29.88216972,61.92000198,Bengaluru,2010
26.03499985,19.43499947,1.800000072,30.7710495,68.40000153,Bengaluru,2010
26.03499985,20.33499908,0.600000024,27.71999931,61.92000198,Bengaluru,2010
24.78499985,19.53499985,12.90000057,23.1774025,61.56000137,Bengaluru,2010
24.43499947,19.38500023,9.799998283,21.24304962,55.07999802,Bengaluru,2010
24.7349987,19.4849987,10.30000019,26.67889023,56.51999664,Bengaluru,2010
25.03499985,19.53499985,0,27.74102974,53.27999878,Bengaluru,2010
25.18499947,19.68499947,0.100000002,26.00984192,54.71999741,Bengaluru,2010
25.68499947,19.58499908,0.100000002,24.60936356,50.75999832,Bengaluru,2010
25.7349987,19.83499908,7.799999714,25.68392563,54.36000061,Bengaluru,2010
25.9849987,19.83499908,6.799999714,27.47580719,55.07999802,Bengaluru,2010
26.2349987,18.7349987,0.5,22.60845757,45.36000061,Bengaluru,2010
26.08499908,18.83499908,1.100000024,21.6119976,48.23999786,Bengaluru,2010
26.28499985,19.08499908,3.599999666,18.78220367,45.36000061,Bengaluru,2010
27.33499908,19.68499947,1.899999976,15.94194412,42.11999893,Bengaluru,2010
26.93499947,19.33499908,0.5,20.52315712,43.56000137,Bengaluru,2010
26.93499947,19.08499908,0,19.88164902,42.83999634,Bengaluru,2010
26.88500023,19.83499908,0.699999988,20.52315712,43.91999817,Bengaluru,2010
27.4849987,19.88500023,5.900000095,17.11420441,35.27999878,Bengaluru,2010
26.28499985,20.28499985,3.500000238,17.38840866,37.79999924,Bengaluru,2010
26.83499908,20.38500023,5.599999428,14.24162865,31.68000031,Bengaluru,2010
26.43499947,20.28499985,3.300000191,11.72627735,29.87999916,Bengaluru,2010
26.4849987,20.18499947,11.00000095,14.05844975,31.31999779,Bengaluru,2010
25.58499908,19.83499908,1.200000048,22.00716209,44.63999558,Bengaluru,2010
24.7349987,20.08499908,0.400000006,23.66435242,49.31999969,Bengaluru,2010
26.4849987,19.93499947,0,18.08977509,40.31999969,Bengaluru,2010
25.78499985,19.9849987,9.200000763,10.73983192,29.51999855,Bengaluru,2010
24.78499985,19.63500023,15.89999962,11.84175587,26.63999939,Bengaluru,2010
26.03499985,19.68499947,8.700000763,19.16471672,37.43999863,Bengaluru,2010
25.78499985,19.7349987,4.700000286,20.37103844,37.79999924,Bengaluru,2010
24.83499908,19.68499947,16.89999771,19.68182755,39.95999908,Bengaluru,2010
21.68499947,19.53499985,25.69999886,18.51464272,33.83999634,Bengaluru,2010
25.28499985,19.4849987,5.399999619,19.24569702,40.68000031,Bengaluru,2010
26.2349987,19.9849987,1.399999976,22.79684067,47.15999985,Bengaluru,2010
26.83499908,20.18499947,2.400000095,18.99831581,42.47999954,Bengaluru,2010
25.7349987,19.83499908,4.400000095,20.6741581,40.68000031,Bengaluru,2010
25.08499908,19.28499985,12.10000134,21.38896942,45,Bengaluru,2010
24.18499947,18.18499947,3.600000382,22.00716209,41.0399971,Bengaluru,2010
25.88500023,18.33499908,0,22.75131607,46.79999924,Bengaluru,2010
26.2349987,18.18499947,0.5,21.06845856,46.43999863,Bengaluru,2010
24.9849987,19.18499947,0.300000012,21.09612274,41.76000214,Bengaluru,2010
26.28499985,18.63500023,0.5,20.00835609,43.91999817,Bengaluru,2010
25.78499985,18.7349987,3.800000191,18.5321331,40.31999969,Bengaluru,2010
25.7349987,19.08499908,1.400000095,20.99142647,44.27999878,Bengaluru,2010
26.03499985,20.03499985,1.200000048,22.32290077,46.79999924,Bengaluru,2010
25.83499908,19.53499985,5.499999046,22.31999779,53.27999878,Bengaluru,2010
26.7349987,18.9849987,0.5,21.9009037,45,Bengaluru,2010
26.4849987,19.08499908,5.699999809,16.98116493,36.36000061,Bengaluru,2010
24.93499947,19.2349987,2.900000095,16.03920174,37.79999924,Bengaluru,2010
26.03499985,19.13500023,0.100000002,13.78381729,33.47999954,Bengaluru,2010
25.58499908,19.38500023,2.5,14.8431797,34.20000076,Bengaluru,2010
24.33499908,19.38500023,0.5,17.28000069,37.43999863,Bengaluru,2010
25.58499908,19.2349987,1.300000072,18.77530098,37.79999924,Bengaluru,2010
26.28499985,19.03499985,4,19.13764763,45,Bengaluru,2010
26.13500023,18.53499985,4.900000095,18.21471787,39.95999908,Bengaluru,2010
24.58499908,18.03499985,0,20.06333923,41.0399971,Bengaluru,2010
25.68499947,18.13500023,0,11.87999916,35.27999878,Bengaluru,2010
26.43499947,18.18499947,0.100000002,8.049844742,22.68000031,Bengaluru,2010
27.4849987,19.08499908,24.70000076,7.65370512,20.88000107,Bengaluru,2010
26.7349987,19.2349987,7.500000477,4.896529675,18.71999931,Bengaluru,2010
27.53499985,19.53499985,11.80000019,5.154415608,21.59999847,Bengaluru,2010
26.88500023,18.83499908,6.400000095,12.10157013,26.63999939,Bengaluru,2010
26.68499947,18.7349987,0.200000003,7.903619289,23.03999901,Bengaluru,2010
27.53499985,19.33499908,4.000000477,11.54247761,23.75999832,Bengaluru,2010
26.38500023,19.93499947,9.199999809,13.44107056,32.76000214,Bengaluru,2010
27.08499908,19.63500023,0,14.52991486,37.07999802,Bengaluru,2010
27.38500023,18.9849987,7.199999809,10.00255966,28.44000053,Bengaluru,2010
28.13500023,19.08499908,1.5,10.9489727,28.44000053,Bengaluru,2010
27.33499908,19.53499985,3.5,10.68539143,25.19999886,Bengaluru,2010
26.9849987,19.28499985,16,7.386581898,23.75999832,Bengaluru,2010
26.68499947,19.28499985,2.500000238,10.04135418,29.51999855,Bengaluru,2010
27.53499985,19.2349987,2.599999905,5.351784706,21.59999847,Bengaluru,2010
27.58499908,19.38500023,4.200000286,10.30883026,21.23999977,Bengaluru,2010
26.63500023,19.93499947,5.299999714,15.14141369,32.76000214,Bengaluru,2010
26.58499908,19.2349987,2.5,14.05844975,31.31999779,Bengaluru,2010
27.28499985,19.03499985,0.700000048,11.27552986,26.28000069,Bengaluru,2010
26.18499947,19.68499947,0.400000006,11.38419914,26.28000069,Bengaluru,2010
25.88500023,19.7349987,0.300000012,10.46479702,25.91999817,Bengaluru,2010
26.9849987,18.78499985,0,13.6610384,29.15999985,Bengaluru,2010
25.7349987,18.43499947,0,10.9489727,27.3599987,Bengaluru,2010
26.2349987,19.03499985,3.600000143,8.699792862,25.19999886,Bengaluru,2010
26.53499985,18.7349987,9.699998856,13.03975391,25.91999817,Bengaluru,2010
26.18499947,18.18499947,0.800000012,16.24394035,39.23999786,Bengaluru,2010
25.4849987,17.68499947,0.900000036,19.99539948,42.83999634,Bengaluru,2010
24.53499985,17.53499985,0,16.75064087,34.20000076,Bengaluru,2010
25.43499947,18.03499985,0.200000003,13.44107056,32.39999771,Bengaluru,2010
26.33499908,18.28499985,0.200000003,9.504273415,23.75999832,Bengaluru,2010
25.93499947,19.13500023,6.700000286,7.78799057,21.23999977,Bengaluru,2010
26.03499985,19.63500023,4.5,10.63067245,23.75999832,Bengaluru,2010
25.88500023,19.43499947,1.400000095,15.29470348,34.56000137,Bengaluru,2010
25.08499908,19.43499947,9.199999809,15.68377399,33.11999893,Bengaluru,2010
25.68499947,19.33499908,0.400000006,14.83007622,32.39999771,Bengaluru,2010
26.2349987,18.7349987,0.400000006,11.77040291,27.71999931,Bengaluru,2010
27.08499908,18.03499985,3.800000191,7.072877884,16.55999947,Bengaluru,2010
26.13500023,19.08499908,0.400000006,10.18233681,25.19999886,Bengaluru,2010
26.28499985,18.63500023,0,15.85635376,33.83999634,Bengaluru,2010
24.63500023,18.53499985,0.5,16.48941612,35.27999878,Bengaluru,2010
23.28499985,19.13500023,6.300000191,13.62779522,27.3599987,Bengaluru,2010
22.93499947,18.83499908,0.5,14.47182083,27.3599987,Bengaluru,2010
23.38500023,18.93499947,23.29999733,12.78380203,21.95999908,Bengaluru,2010
23.4849987,19.03499985,11,11.96695423,26.28000069,Bengaluru,2010
25.93499947,18.88500023,3.400000095,8.47339344,20.51999855,Bengaluru,2010
25.58499908,18.7349987,4.300000191,9.028754234,23.75999832,Bengaluru,2010
25.78499985,18.43499947,2.699999809,10.46479702,24.11999893,Bengaluru,2010
25.63500023,18.33499908,0,11.440979,24.47999954,Bengaluru,2010
20.63500023,17.78499985,26.39999962,15.94600964,34.91999817,Bengaluru,2010
23.13500023,17.88500023,1.400000095,17.07250404,30.23999786,Bengaluru,2010
26.13500023,19.33499908,4.199999809,15.12428379,32.39999771,Bengaluru,2010
25.63500023,18.18499947,10.69999981,8.891343117,24.11999893,Bengaluru,2010
25.88500023,18.2349987,24.10000038,8.557102203,23.03999901,Bengaluru,2010
25.78499985,18.2349987,0.600000024,10.68539143,18.3599987,Bengaluru,2010
26.43499947,18.28499985,0.899999976,9.726664543,22.31999779,Bengaluru,2010
26.13500023,18.13500023,0.200000003,10.36525059,24.47999954,Bengaluru,2010
25.93499947,17.88500023,5.400000095,10.5940361,25.19999886,Bengaluru,2010
24.43499947,17.68499947,6.200000286,17.84815979,35.27999878,Bengaluru,2010
23.33499908,18.83499908,9.299999237,22.10411644,42.11999893,Bengaluru,2010
24.88500023,18.88500023,2.599999905,17.58481026,39.95999908,Bengaluru,2010
25.08499908,18.28499985,0.400000006,16.17998505,34.20000076,Bengaluru,2010
26.13500023,17.7349987,0.200000003,9.726664543,24.47999954,Bengaluru,2010
24.88500023,18.2349987,2,10.49571323,24.84000015,Bengaluru,2010
25.7349987,18.2349987,0,13.44107056,31.31999779,Bengaluru,2010
25.4849987,18.63500023,1,11.38419819,26.63999939,Bengaluru,2010
24.83499908,17.93499947,0,13.03975391,25.55999947,Bengaluru,2010
24.88500023,17.7349987,1.700000048,13.03975391,30.59999847,Bengaluru,2010
22.88500023,18.18499947,1.299999952,12.7380991,30.23999786,Bengaluru,2010
21.7349987,17.08499908,3.199999571,12.49671936,26.63999939,Bengaluru,2010
23.7349987,16.88500023,0,15.93787766,32.39999771,Bengaluru,2010
25.13500023,16.88500023,0,15.12428379,37.07999802,Bengaluru,2010
25.08499908,17.33499908,0,19.914217,43.56000137,Bengaluru,2010
23.33499908,17.2349987,0,16.61079216,39.23999786,Bengaluru,2010
24.28499985,17.43499947,1.300000072,17.65468597,37.79999924,Bengaluru,2010
24.78499985,15.88500023,0,17.22742081,34.91999817,Bengaluru,2010
23.78499985,15.58500004,0,16.4185257,36.71999741,Bengaluru,2010
23.18499947,16.2349987,0,19.52315521,39.95999908,Bengaluru,2010
22.78499985,14.58500004,0.800000012,19.35313988,39.59999847,Bengaluru,2010
22.7349987,15.5350008,0.5,12.57425976,27.71999931,Bengaluru,2010
24.38500023,18.08499908,2.000000238,10.44620609,26.28000069,Bengaluru,2010
24.38500023,16.43499947,0.300000012,9.826087952,24.11999893,Bengaluru,2010
25.88500023,15.48500061,0,10.9489727,26.28000069,Bengaluru,2010
25.38500023,15.98499966,0,9.885261536,25.91999817,Bengaluru,2010
24.7349987,16.03499985,0,11.11928082,25.55999947,Bengaluru,2010
25.2349987,15.68500042,0,7.928177834,19.07999992,Bengaluru,2010
24.88500023,16.88500023,0.699999988,10.18233681,18.71999931,Bengaluru,2010
23.88500023,18.28499985,3.000000238,12.42912674,25.55999947,Bengaluru,2010
22.08499908,17.78499985,2.400000095,12.97998428,29.51999855,Bengaluru,2010
23.78499985,17.4849987,0.900000095,14.51206398,30.23999786,Bengaluru,2010
24.68499947,13.38500023,0,11.70968819,25.19999886,Bengaluru,2010
23.83499908,12.58500004,0,16.23596001,36.36000061,Bengaluru,2010
21.83499908,15.5350008,0.600000024,17.28374863,36.71999741,Bengaluru,2010
25.43499947,12.38500023,0,12.97998428,29.87999916,Bengaluru,2010
25.43499947,9.885000229,0,9.605998039,24.47999954,Bengaluru,2010
25.83499908,9.73500061,0,9.114471436,17.28000069,Bengaluru,2010
25.18499947,10.48500061,0,9.178235054,20.88000107,Bengaluru,2010
25.38500023,10.58500004,0,9.178235054,21.59999847,Bengaluru,2010
